objectid,parentid,title,photographer,date,date-is-approximate,description,item_information,postcard_type,subject,location,state,latitude,longitude,publisher,publisher_location,identifier,rights,source,rightsstatement,original format,type,format,language,filename,display_template,object_location,image_small,image_thumb
nwpostcards373,nwpostcards372,,,,,,,,,,,,,,,Postcard_214,,,,,,image/jpeg,,Postcard_214.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_214.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_214_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_214_th.jpg
nwpostcards374,nwpostcards372,,,,,,,,,,,,,,,Postcard_214b,,,,,,image/jpeg,,Postcard_214b.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_214b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_214b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_214b_th.jpg
nwpostcards375,,"General Administrative Building, Olympia, Washington",Kyle Smith,1970,yes,"Postcard of the General Administration Office in Olympia, Washington. | General Administrative Building, Olympia, Washington. This new building houses Department of Commerce, Labor and Industries, Tax Commission, State Patrol, State Fisheries, State Printer and Liquor Board. The fountain, an exact replica of the famous Trivoli Fountain of Copenhagen, Denmark, was donated to the state by the citizens of Tumwater",,photographic postcards,capitols; public buildings; men; automobiles; fountains; trees; benches; photographic postcards,"Olympia, Washington",Washington,47.036343,-122.901344,"Smith Western, Inc.","Tacoma, WA; Portland, OR",postcard_215,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_215.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_215_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_215_th.jpg
nwpostcards376,nwpostcards375,,,,,,,,,,,,,,,Postcard_215,,,,,,image/jpeg,,Postcard_215.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_215.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_215_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_215_th.jpg
nwpostcards377,nwpostcards375,,,,,,,,,,,,,,,Postcard_215b,,,,,,image/jpeg,,Postcard_215b.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_215b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_215b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_215b_th.jpg
nwpostcards378,,"Sunken Gardens, State Capitol, Olympia, Washington",J. Boyd Ellis,1970,yes,"Postcard of the Sunken Gardens at the Washington State Capitol in Olympia, Washington. | Sunken Gardens, State Capitol, Olympia, Washington. Here may be found some of the most beautiful examples of the landscape gardener's art. Every season brings new and changing beauties.",,photographic postcards,capitols; public buildings; gardens; flowers; women; automobiles; trees; photographic postcards,"Olympia, Washington",Washington,47.036951,-122.903116,Ellis Post Card Co.,"Arlington, WA",postcard_216,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_216.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_216_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_216_th.jpg
nwpostcards379,nwpostcards378,,,,,,,,,,,,,,,Postcard_216,,,,,,image/jpeg,,Postcard_216.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_216.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_216_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_216_th.jpg
nwpostcards380,nwpostcards378,,,,,,,,,,,,,,,Postcard_216b,,,,,,image/jpeg,,Postcard_216b.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_216b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_216b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_216b_th.jpg
nwpostcards381,,Jerry's American Heritage K.O.A.,Jerry Morrison,1970,yes,"Postcard of a swimming pool at a campground outside of Olympia, Washington. |  Jerry's American Heritage K.O.A. Located 6 miles south of Olympia on I-5, exit 99, turn east and follow signs. Tents, Campers, Trailer spaces, hot showers, clean restrooms. Conveniently located to visit Mt. Rainier, Olympic National Park, Ocean Beaches and State Capitol. 9610 Kimmie Street, S.W., Olympia, Washington 98502. (206) 943-8778.",,photographic postcards,swimming pools; swimming; campgrounds; men; women; children; picnic tables; trees; buildings; photographic postcards,"Olympia, Washington",Washington,46.947687,-122.926123,"Smith Western, Inc.","Tacoma, WA",postcard_217,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"4 x 5.875, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_217.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_217_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_217_th.jpg
nwpostcards382,nwpostcards381,,,,,,,,,,,,,,,Postcard_217,,,,,,image/jpeg,,Postcard_217.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_217.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_217_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_217_th.jpg
nwpostcards383,nwpostcards381,,,,,,,,,,,,,,,Postcard_217b,,,,,,image/jpeg,,Postcard_217b.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_217b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_217b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_217b_th.jpg
nwpostcards384,,"Pe Ell, Lewis County, Washington",Werner Lenggenhager,1970,yes,"Postcard of a covered bridge over the Chehalis River in Washington State. |  Pe Ell, Lewis County, Washington, covered bridge across the Chehalis River. Bridge built 1934 is owned and used by the Pe Ell Water Department. (It also carries wooden water pipe, sole water supply for the town of Pe Ell).",,photographic postcards,covered bridges; rivers; trees; rocks; photographic postcards,"Pe Ell, Washington",Washington,46.560323,-123.305848,Ellis Post Card Co.,"Arlington, WA",postcard_218,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"5.5 x 3.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_218.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_218_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_218_th.jpg
nwpostcards385,nwpostcards384,,,,,,,,,,,,,,,postcard_218,,,,,,image/jpeg,,postcard_218.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_218.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_218_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_218_th.jpg
nwpostcards386,nwpostcards384,,,,,,,,,,,,,,,postcard_218b,,,,,,image/jpeg,,postcard_218b.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_218b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_218b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_218b_th.jpg
nwpostcards387,,"Point Grenville, Washington",Jan Doward,1970,yes,"Postcard of Point Grenville on the coast of Washington state. | Point Grenville, Washington. It was here that the first white men landed in 1775. The Spaniards first explored the coastline of Washington and found this area most accessible.",,photographic postcards,coastlines; shores (landforms); oceans; trees; sand; rocks; photographic postcards,"Point Grenville; Greys Harbor; Grays Harbor County, Washington",Washington,47.308751,-124.278612,"Smith Western, Inc.","Tacoma, WA",postcard_219,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.4375 x 5.4375, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_219.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_219_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_219_th.jpg
nwpostcards388,nwpostcards387,,,,,,,,,,,,,,,Postcard_219,,,,,,image/jpeg,,Postcard_219.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_219.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_219_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_219_th.jpg
nwpostcards389,nwpostcards387,,,,,,,,,,,,,,,Postcard_219b,,,,,,image/jpeg,,Postcard_219b.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_219b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_219b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_219b_th.jpg
nwpostcards390,,"Famous Lighthouse and Washington State Ferry, Puget Sound, Washington",Pat O'Malley,1970,yes,"Postcard of Mukilteo Light at Mukilteo, Washington with a ferry boat in the background. | Famous Lighthouse and Washington State Ferry, Puget Sound, Washington.",,photographic postcards,lighthouses; car ferries; bodies of water; flagpoles; flags;,"Mukilteo, Washington",Washington,47.948648,-122.30606,"Smith Western, Inc.","Tacoma, WA; Portland, OR",postcard_220,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"5.5 x 3.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_220.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_220_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_220_th.jpg
nwpostcards391,nwpostcards390,,,,,,,,,,,,,,,Postcard_220,,,,,,image/jpeg,,Postcard_220.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_220.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_220_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_220_th.jpg
nwpostcards392,nwpostcards390,,,,,,,,,,,,,,,Postcard_220b,,,,,,image/jpeg,,Postcard_220b.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_220b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_220b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_220b_th.jpg
nwpostcards393,,"Space Needle, Seattle, Washington",Clifford B. Ellis,1966,yes,"Postcard of the Space Needle in Seattle, Washington. | The Space Needle, Seattle, Washington. It rises to the height of 600 feet and is topped by a restaurant which revolves 360? every hour. About 260 persons can be served. An observation deck and snack service is also atop the Needle for those who wish to feast mostly on the tremendous scenic panorama.","written message; postage applied; Postmark: 6/9/1966, Livingston, MT; Destination: Dallas, TX",photographic postcards,landmark buildings; towers; restaurants; cities; buildings; trees; streets; photographic postcards,"Seattle, Washington",Washington,47.624433,-122.350017,Ellis Post Card Co.,"Arlington, WA",postcard_221,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"5.4375 x 3.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_221.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_221_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_221_th.jpg
nwpostcards394,nwpostcards393,,,,,,,,,,,,,,,Postcard_221,,,,,,image/jpeg,,Postcard_221.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_221.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_221_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_221_th.jpg
nwpostcards395,nwpostcards393,,,,,,,,,,,,,,,Postcard_221b,,,,,,image/jpeg,,Postcard_221b.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_221b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_221b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_221b_th.jpg
nwpostcards396,,Monorail,Max R. Jensen,1967,yes,"Postcard of the Monorail in Seattle, Washington. | Two symbols of modern times. The sleek Monorail, first of its kind in America, swiftly whisks visitors to the Seattle World's Fair grounds and back to beautiful downtown Seattle. Like a sentinel watching, stands the 600-foot Space Needle.","written message; postage applied; Postmark: 6/22/1967, Crescent City, CA; Destination: Barger, TX",photographic postcards,monorails; landmark buildings; towers; automobiles; men; trees; buildings; photographic postcards,"Seattle, Washington",Washington,47.617915,-122.346376,C.P. Johnston Company,"Seattle, WA",postcard_222,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"5.4375 x 3.4375, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_222.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_222_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_222_th.jpg
nwpostcards397,nwpostcards396,,,,,,,,,,,,,,,Postcard_222,,,,,,image/jpeg,,Postcard_222.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_222.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_222_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_222_th.jpg
nwpostcards398,nwpostcards396,,,,,,,,,,,,,,,Postcard_222b,,,,,,image/jpeg,,Postcard_222b.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_222b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_222b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_222b_th.jpg
nwpostcards399,,Snoqualmie Pass,Pat O'Malley,1960,yes,"Postcard of Snoqualmie Pass in Washington state.  |  Snoqualmie Pass - U.S. Hiway No. 10, Washington. This view looks east from the summit towards beautiful Keechelus Lake. Although a season's snowfall averages nearly 500 inches to provide some of America's finest skiing in four major resorts, the most modern snow removal equipment is used to keep this main East-West mountain pass open all winter.",,photographic postcards,highways; lakes; mountains; trees; ski resorts; photogrpahic postcards,"Snoqualmie Pass; Kittitas County, Washington",Washington,47.439351,-121.443486,"Smith Western, Inc.","Tacoma, WA",postcard_194,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_194.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_194_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_194_th.jpg
nwpostcards400,nwpostcards399,,,,,,,,,,,,,,,postcard_194,,,,,,image/jpeg,,postcard_194.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_194.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_194_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_194_th.jpg
nwpostcards401,nwpostcards399,,,,,,,,,,,,,,,postcard_194b,,,,,,image/jpeg,,postcard_194b.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_194b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_194b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_194b_th.jpg
nwpostcards402,,"Washington State Courthouse, Olympia, Washington",,1950,yes,"Postcard is of the Washington State Capitol buildings in Olympia, Washington.  | Washington State Capitol, Olympia, Washington. Olympia is the Capital city of the only state in the Union named after a President of the United States. Washington is proud of its heritage of hospitality, handed down to it by early pioneers. From the Palouse to Puget Sound and from the mouth of the Columbia River to the Pend Oreille... Washingtonians welcome their guests from all corners of the globe.",,picture postcards,public buildings; capitols; trees; rivers; mountains; picture postcards,"Olympia, Washington; Washington State Capitol",Washington,47.036198,-122.904848,E.C. Kropp Co.,"Milwaukee, WI",postcard_022,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_022.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_022_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_022_th.jpg
nwpostcards403,nwpostcards402,,,,,,,,,,,,,,,postcard_022,,,,,,image/jpeg,,postcard_022.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_022.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_022_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_022_th.jpg
nwpostcards404,nwpostcards402,,,,,,,,,,,,,,,postcard_022b,,,,,,image/jpeg,,postcard_022b.jpg,image,https://objects.lib.uidaho.edu/postcards/postcard_022b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_022b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_022b_th.jpg
nwpostcards405,,Seattle Skyline,Clifford B. Ellis,1970,yes,"Postcard of the skyline of Seattle, Washington. | Seattle skyline as viewed from atop the 42 story Smith Tower. The financial district is in the foreground while on the left may be seen the Alaskan Way viaduct which carries through traffic along the waterfront. Lake Union is on the far right.",,photographic postcards,skylines; buildings; cities; lakes; piers (marine landings); photographic postcards,"Seattle, Washington",Washington,47.601924,-122.331735,Ellis Post Card Co.,"Arlington, WA",postcard_223,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.4375 x 5.4375, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_223.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_223_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_223_th.jpg
nwpostcards406,nwpostcards405,,,,,,,,,,,,,,,Postcard_223,,,,,,image/jpeg,,Postcard_223.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_223.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_223_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_223_th.jpg
nwpostcards407,nwpostcards405,,,,,,,,,,,,,,,Postcard_223b,,,,,,image/jpeg,,Postcard_223b.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_223b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_223b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_223b_th.jpg
nwpostcards408,,"Federal Court House, Seattle, Washington",Wolfgang Zorer,1970,yes,"Postcard of the Federal Courthouse in Seattle, Washington. | Federal Court House, Seattle, Washington.",,photographic postcards,public buildings; courthouses; trees; automobiles; photographic postcards,"Seattle, Washington",Washington,47.606809,-122.331803,Ellis Post Card Co.,"Arlington, WA",postcard_224,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.4375, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_224.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_224_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_224_th.jpg
nwpostcards409,nwpostcards408,,,,,,,,,,,,,,,Postcard_224,,,,,,image/jpeg,,Postcard_224.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_224.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_224_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_224_th.jpg
nwpostcards410,nwpostcards408,,,,,,,,,,,,,,,Postcard_224b,,,,,,image/jpeg,,Postcard_224b.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_224b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_224b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_224b_th.jpg
nwpostcards411,,Roche Harbor,,1968,yes,"Postcard of sailboats in Roche Harbor in Washington State. |  Roche Harbor, starting point of the Pacific International Yachting Association 1961 Race. - Over one hundred sail boats. Roche Harbor, Washington.","written message; postage applied; Postmark: 9/5/1968, Eastsound, WA; Destination: Carmel, CA",photographic postcards,harbors; sailboats; bodies of water; marinas; islands; trees; photographic postcards;,"Roche Harbor; San Juan County, Washington",Washington,48.60976,-123.119073,Friday Harbor Journal,"Friday Harbor, WA",postcard_225,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_225.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_225_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_225_th.jpg
nwpostcards412,nwpostcards411,,,,,,,,,,,,,,,Postcard_225,,,,,,image/jpeg,,Postcard_225.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_225.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_225_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_225_th.jpg
nwpostcards413,nwpostcards411,,,,,,,,,,,,,,,Postcard_225b,,,,,,image/jpeg,,Postcard_225b.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_225b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_225b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_225b_th.jpg
nwpostcards414,,"Floating Bridge, Seattle, Washington",Helen Landean,1970,yes,"Postcard of the Lacey V. Murrow Memorial Bridge, a floating bridge in Seattle, Washington. Postcard has water damage. | Floating Bridge, Seattle, Washington. This unusual view shows the Floating Bridge at night. This is the main route between Western Washington and the great Inland Empire of this state.",,photographic postcards,bridges; pontoon bridges; lakes; bodies of water; water damage; photographic postcards,"Seattle, Washington",Washington,47.592432,-122.28823,"Smith Western, Inc.","Tacoma, WA; Portland, OR",postcard_226,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_226.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_226_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_226_th.jpg
nwpostcards415,nwpostcards414,,,,,,,,,,,,,,,Postcard_226,,,,,,image/jpeg,,Postcard_226.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_226.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_226_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_226_th.jpg
nwpostcards416,nwpostcards414,,,,,,,,,,,,,,,Postcard_226b,,,,,,image/jpeg,,Postcard_226b.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_226b.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_226b_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_226b_th.jpg
nwpostcards417,,"Spokane County Court House, Spokane, Washington",Dennis Dilley,1970,yes,"Postcard of the Spokane County Courthouse in Spokane, Washington. | Spokane County Court House, Spokane, Washington. The Spokane County Court House was built in 1895 on four feet of solid rock foundations at a cost of $273,600. This unusual structure of beautiful architecture continues to serve Spokane County and offers tourists an unusual attraction. The Castle-like lighted tower can be seen from miles around.",,photographic postcards,public buildings; county courthouses; trees; photographic postcards,"Spokane, Washington",Washington,47.664149,-117.429692,"Smith Western, Inc.","Tacoma, WA",postcard_227,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.4375 x 5.4375, Color",Image;StillImage,image/jpeg,eng,,multiple,https://objects.lib.uidaho.edu/postcards/postcard_227.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_227_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_227_th.jpg
nwpostcards418,nwpostcards417,,,,,,,,,,,,,,,Postcard_227,,,,,,image/jpeg,,Postcard_227.jpg,image,https://objects.lib.uidaho.edu/postcards/Postcard_227.jpg,https://objects.lib.uidaho.edu/postcards/small/postcard_227_sm.jpg,https://objects.lib.uidaho.edu/postcards/thumbs/postcard_227_th.jpg
